title,imdb,Genre,year,duration,certificate,description,Director,Stars
2001: A Space Odyssey,83,Adventure,1968,149,G,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",Director: Stanley Kubrick ," Stars: Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter"
Eternal Sunshine of the Spotless Mind,83,Drama,2004,108,R,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",Director: Michel Gondry ," Stars: Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne"
The Hunt,83,Drama,2012,115,R,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Director: Thomas Vinterberg ," Stars: Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm"
Scarface,83,Crime,1983,170,18+,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Director: Brian De Palma ," Stars: Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio"
A Clockwork Orange,83,Crime,1971,136,R,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Director: Stanley Kubrick ," Stars: Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke"
Braveheart,83,Biography,1995,178,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Director: Mel Gibson ," Stars: Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
Full Metal Jacket,83,Drama,1987,116,R,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Director: Stanley Kubrick ," Stars: Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin"
Vertigo,83,Mystery,1958,128,PG,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Director: Alfred Hitchcock ," Stars: James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore"
Reservoir Dogs,83,Crime,1992,99,R,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Director: Quentin Tarantino ," Stars: Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
Once Upon a Time in America,83,Crime,1984,229,R,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Director: Sergio Leone ," Stars: Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams"
Toy Story,83,Animation,1995,81,G,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,Director: John Lasseter ," Stars: Tom Hanks, Tim Allen, Don Rickles, Jim Varney"
Hamilton,83,Biography,2020,160,PG-13,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Director: Thomas Kail ," Stars: Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry"
Up,83,Animation,2009,96,PG,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Directors: Pete Docter, Bob Peterson "," Stars: Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer"
Star Wars: Episode VI - Return of the Jedi,83,Action,1983,131,PG,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",Director: Richard Marquand ," Stars: Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
Incendies,83,Drama,2010,131,R,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Director: Denis Villeneuve ," Stars: Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel"
Amélie,83,Comedy,2001,122,R,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",Director: Jean-Pierre Jeunet ," Stars: Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta"
Princess Mononoke,83,Animation,1997,134,PG-13,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Director: Hayao Miyazaki ," Stars: Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup"
Toy Story 3,83,Animation,2010,103,G,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Director: Lee Unkrich ," Stars: Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty"
Citizen Kane,83,Drama,1941,119,PG,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Director: Orson Welles ," Stars: Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead"
To Kill a Mockingbird,83,Crime,1962,129,Approved,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",Director: Robert Mulligan ," Stars: Gregory Peck, John Megna, Frank Overton, Rosemary Murphy"
The Apartment,83,Comedy,1960,125,Approved,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Director: Billy Wilder ," Stars: Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston"
Lawrence of Arabia,83,Adventure,1962,218,Approved,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Director: David Lean ," Stars: Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
Metropolis,83,Drama,1927,153,Not Rated,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Director: Fritz Lang ," Stars: Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge"
Dangal,83,Action,2016,161,Not Rated,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Director: Nitesh Tiwari ," Stars: Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
Singin' in the Rain,83,Comedy,1952,103,G,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Directors: Stanley Donen, Gene Kelly "," Stars: Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen"
North by Northwest,83,Action,1959,136,Approved,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Director: Alfred Hitchcock ," Stars: Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis"
The Sting,83,Comedy,1973,129,PG,Two grifters team up to pull off the ultimate con.,Director: George Roy Hill ," Stars: Paul Newman, Robert Redford, Robert Shaw, Charles Durning"
M,83,Crime,1931,99,Passed,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Director: Fritz Lang ," Stars: Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke"
A Separation,83,Drama,2011,123,PG-13,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Director: Asghar Farhadi ," Stars: Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini"
Ikiru,83,Drama,1952,143,Not Rated,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Director: Akira Kurosawa ," Stars: Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka"
Double Indemnity,83,Crime,1944,107,Passed,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",Director: Billy Wilder ," Stars: Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr"
Judgment at Nuremberg,83,Drama,1961,179,Approved,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",Director: Stanley Kramer ," Stars: Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich"
Like Stars on Earth,83,Drama,2007,165,PG,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Directors: Aamir Khan, Amole Gupte "," Stars: Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer"
Bicycle Thieves,83,Drama,1948,89,Not Rated,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Director: Vittorio De Sica ," Stars: Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri"
K.G.F: Chapter 2,83,Action,2022,168,Not Rated,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",Director: Prashanth Neel ," Stars: Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty"
Raatchasan,83,Action,2018,170,Not Rated,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Director: Ram Kumar ," Stars: Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan"
Chhichhore,83,Comedy,2019,143,Not Rated,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Director: Nitesh Tiwari ," Stars: Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar"
Kantara,83,Action,2022,148,Not Rated,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.",Director: Rishab Shetty ," Stars: Rishab Shetty, Kishore Kumar G., Achyuth Kumar, Sapthami Gowda"
Ayla: The Daughter of War,83,Biography,2017,125,7+,"Sergeant Süleyman finds a little girl on a battlefield during the Korean War. He takes her and names her Ayla. Fifteen months later, Süleyman's brigade is told they will be returning to Turkey, and he is reluctant to leave her behind.",Director: Can Ulkay ," Stars: Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol"
Shershaah,83,Action,2021,135,TV-14,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",Director: Vishnuvardhan ," Stars: Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri"
Drishyam,83,Crime,2013,160,Not Rated,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Director: Jeethu Joseph ," Stars: Mohanlal, Meena, Asha Sharath, Ansiba"
The Wolf of Wall Street,82,Biography,2013,180,R,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Director: Martin Scorsese ," Stars: Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey"
Jurassic Park,82,Action,1993,127,PG-13,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Director: Steven Spielberg ," Stars: Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
No Country for Old Men,82,Crime,2007,122,R,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Directors: Ethan Coen, Joel Coen "," Stars: Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
Spider-Man: No Way Home,82,Action,2021,148,PG-13,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Director: Jon Watts ," Stars: Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon"
Taxi Driver,82,Crime,1976,114,R,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",Director: Martin Scorsese ," Stars: Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks"
Batman Begins,82,Action,2005,140,PG-13,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Director: Christopher Nolan ," Stars: Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson"
Shutter Island,82,Mystery,2010,138,R,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",Director: Martin Scorsese ," Stars: Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley"
There Will Be Blood,82,Drama,2007,158,R,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Director: Paul Thomas Anderson ," Stars: Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer"
The Thing,82,Horror,1982,109,16+,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Director: John Carpenter ," Stars: Kurt Russell, Wilford Brimley, Keith David, Richard Masur"
The Truman Show,82,Comedy,1998,103,PG,An insurance salesman discovers his whole life is actually a reality TV show.,Director: Peter Weir ," Stars: Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich"
Kill Bill: Vol. 1,82,Action,2003,111,R,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Director: Quentin Tarantino ," Stars: Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
Snatch,82,Comedy,2000,102,R,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Director: Guy Ritchie ," Stars: Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones"
